request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,healthy,vllm_healthy,1781641894.9048245,1781641898.5844896,3679.6650886535645,1,200,,154,64,52,206
1,healthy,vllm_healthy,1781641898.5849597,1781641902.2601523,3675.1925945281982,1,200,,154,64,23,177
2,healthy,vllm_healthy,1781641902.260642,1781641905.9381468,3677.504777908325,1,200,,154,64,23,177
3,healthy,vllm_healthy,1781641905.9391172,1781641909.614786,3675.668716430664,1,200,,154,64,54,208
4,healthy,vllm_healthy,1781641909.6154861,1781641913.2895293,3674.0431785583496,1,200,,154,64,55,209
5,healthy,vllm_healthy,1781641913.290053,1781641916.964465,3674.4120121002197,1,200,,154,64,55,209
6,healthy,vllm_healthy,1781641916.9649308,1781641920.6789892,3714.0583992004395,1,200,,154,64,55,209
7,healthy,vllm_healthy,1781641920.6794698,1781641924.3965902,3717.120409011841,1,200,,154,64,52,206
8,healthy,vllm_healthy,1781641924.397347,1781641928.1219206,3724.5736122131348,1,200,,154,64,55,209
9,healthy,vllm_healthy,1781641928.1223354,1781641931.8426476,3720.3121185302734,1,200,,154,64,55,209
10,healthy,vllm_healthy,1781641931.8430321,1781641935.5646048,3721.5726375579834,1,200,,154,64,50,204
11,healthy,vllm_healthy,1781641935.5649338,1781641939.2834272,3718.4934616088867,1,200,,154,64,23,177
12,healthy,vllm_healthy,1781641939.283786,1781641943.012879,3729.092836380005,1,200,,154,64,23,177
13,healthy,vllm_healthy,1781641943.0136209,1781641946.7353601,3721.7392921447754,1,200,,154,64,52,206
14,healthy,vllm_healthy,1781641946.736734,1781641950.4582367,3721.5027809143066,1,200,,154,64,23,177
15,healthy,vllm_healthy,1781641950.4587374,1781641954.1818917,3723.154306411743,1,200,,154,64,23,177
16,healthy,vllm_healthy,1781641954.1824346,1781641957.9032745,3720.8399772644043,1,200,,154,64,23,177
